asset_id,model,serial_number,year_manufactured,funding,date_received,warranty_expiry,contract_expiry,warranty_notes,service_agent,department_name,location,type,price
U-MM016,"Primo Star",3133000136,NULL,USAID,2009-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Microbiology 2",Biomedical,NULL
U-MM017,NULL,NULL,NULL,ADB,2007-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","TB Lab 2",Biomedical,NULL
U-MM018,"180 Series Water Bath",208837-28,2009,ICAP,NULL,NULL,NULL,NULL,"Sanas, ICAP","MMH Laboratory","TB Lab 2",Biomedical,NULL
U-MM019,FN500,920458,NULL,ICAP,2010-01-01,NULL,NULL,NULL,ICAP,"MMH Laboratory","TB Lab 2",Biomedical,NULL
U-MM020,F20500060,116724,NULL,NULL,2010-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","TB Lab 2",Biomedical,NULL
U-MM021,"Harvard Trip Balance",NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sanas,"MMH Laboratory","TB Lab 2",Biomedical,NULL
U-MM022,"Orion 3 Star pH Bench Top",B19453,NULL,NULL,2010-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","TB Lab 2",Biomedical,NULL
U-MM023,"EC-Type T7037",WB07COO64,NULL,NULL,2010-01-01,NULL,NULL,NULL,Sanas,"MMH Laboratory","TB Lab 2",Biomedical,NULL
U-MM024,NULL,NULL,1984,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","TB Lab 2",Biomedical,NULL
U-MM025,"FACS Count",D291200183,NULL,ICAP,2005-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Haematology Lab 2",Biomedical,NULL
U-MM026,"BX S1",9H06207,NULL,ICAP,2009-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Haematology Lab 2",Biomedical,NULL
U-MM027,LX-300+II,989Y39911,NULL,ICAP,2010-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Haematology Lab 2",Biomedical,NULL
U-MM028,NULL,CD007DS,NULL,ICAP,2009-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Haematology Lab 2",Biomedical,NULL
U-MM029,"Cell-Dyn 3700",CD3700CS,NULL,ICAP,2009-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Haematology Lab 2",Biomedical,NULL
U-MM030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Haematology Lab 2",Biomedical,NULL
U-MM031,NULL,NULL,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Haematology Lab 2",Biomedical,NULL
U-MM032,"Pentra XL80",20466AN,NULL,ICAP,2005-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Haematology Lab 2",Biomedical,NULL
U-MM033,"Tissue Water Bath",51260,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Histopathology 2",Biomedical,NULL
U-MM034,AE-600,3921,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Histopathology 2",Biomedical,NULL
U-MM035,NULL,1010SMF004,NULL,ADB,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Histopathology 2",Biomedical,NULL
U-MM036,KD-BM,8401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Histopathology 2",Biomedical,NULL
U-MM037,KD-T,5222,2010,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Histopathology 2",Biomedical,NULL
U-MM038,1040-STP-003,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Histopathology 2",Biomedical,NULL
U-MM039,CX21FSI,8C02282,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Histopathology 2",Biomedical,NULL
U-MM040,BX51,9B06599,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Histopathology 2",Biomedical,NULL
U-MM041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Histopathology 2",Biomedical,NULL
U-MM042,ECTR,NULL,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Histopathology 2",Biomedical,NULL
U-MM043,ECTR,NULL,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Histopathology 2",Biomedical,NULL
U-MM044,AX-75L,2322,2009,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Washing 2",Biomedical,NULL
U-MM045,AX-75L,2323,2009,NULL,2010-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Washing 2",Biomedical,NULL
U-MM046,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Washing 2",Biomedical,NULL
U-MM047,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Washing 2",Biomedical,NULL
U-MM048,MN,NULL,2009,ICAP,NULL,NULL,NULL,NULL,"Kas Medics","MMH Laboratory","Main Corridor 2",Biomedical,NULL
U-MM049,"super arctic 7002t",NULL,2009,ICAP,2009-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM050,"super arctic 7002t",NULL,2009,ICAP,2009-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM051,Fully,80168,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM052,RXL-5B,22715,NULL,UNFPA,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM053,"C854/6 9/07",IALC-2369,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM054,"RHP-CI Hot Plate",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM055,AX-9602,09070175,2009,NULL,2010-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM056,BTS-100,0810010719,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM057,BTS-100,810020174,NULL,"Japan Official Development Assistance",NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM058,AX-9602,09070136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM059,AX-9602,09070174,2009,NULL,2010-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM060,TRSP,NULL,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM061,AX-9602,090710137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM062,Arec-X,116718,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM063,"Axiom 9602",09070134,NULL,CDC,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM064,R75,STO5,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM065,"ABT 320-4M",WB07C0067,NULL,CDC,2010-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM066,"HB 201+",NULL,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM067,"CS 5000",NULL,NULL,CDC,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM068,Vibromix,70918156,NULL,CDC,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM069,AX-12B,5,NULL,CDC,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM070,"Orion 3 Star pH Bench Top",B18976,NULL,CDC,2010-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM071,Humaclot-Duo,1127,NULL,ADB,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM072,Humaclot-Duo,1126,NULL,ADB,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM073,"Rotofix 32",0039164-02-00,2006,NULL,2007-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Store 2",Biomedical,NULL
U-MM074,ED115,08-47930,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Clinical Chemistry 2",Biomedical,NULL
U-MM075,"Siar Fax 4700",4700-1059,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Clinical Chemistry 2",Biomedical,NULL
U-MM076,BTS-305,801550268,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Clinical Chemistry 2",Biomedical,NULL
U-MM077,"Biolyte 2000",700174,NULL,NULL,2010-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Clinical Chemistry 2",Biomedical,NULL
U-MM078,"Well Washer 4 MK2",006-9-9166,NULL,CDC,2009-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Clinical Chemistry 2",Biomedical,NULL
U-MM079,Multiskan,357-00120,2008,CDC,NULL,NULL,NULL,NULL,ICAP,"MMH Laboratory","Clinical Chemistry 2",Biomedical,NULL
U-MM080,"DSC_300 SD",0505172,NULL,NULL,2009-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Clinical Chemistry 2",Biomedical,NULL
U-MM081,BS-200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Clinical Chemistry 2",Biomedical,NULL
U-MM082,BS-200,WN-06100688,NULL,NULL,2010-01-01,NULL,NULL,NULL,ICAP,"MMH Laboratory","Clinical Chemistry 2",Biomedical,NULL
U-MM083,Fully,80336,NULL,NULL,2005-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Clinical Chemistry 2",Biomedical,NULL
U-MM084,Humalyte,700175,NULL,CDC,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Clinical Chemistry 2",Biomedical,NULL
U-MM085,USS7480IKL,M22000110200,NULL,NULL,2005-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Clinical Chemistry 2",Biomedical,NULL
U-MM086,"Vitamin +, GR-V212R",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Clinical Chemistry 2",Biomedical,NULL
U-MM087,CX21FSI,CJ05427,NULL,CDC,2010-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Parasitology 2",Biomedical,NULL
U-MM088,"super arctic 7002t",NULL,NULL,NULL,2009-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Parasitology 2",Biomedical,NULL
U-MM089,D12661,126609062391,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Parasitology 2",Biomedical,NULL
U-MM090,"Rotofix 32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Parasitology 2",Biomedical,NULL
U-MM091,"Uriscan Optima II",UA-10909803,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Parasitology 2",Biomedical,NULL
U-MM092,CX21FSI,7J5923,NULL,CDC,NULL,NULL,NULL,NULL,NULL,"MMH Laboratory","Parasitology 2",Biomedical,NULL
U-MM093,CX21FSI,4A01419,NULL,CDC,2007-01-01,NULL,NULL,NULL,NULL,"MMH Laboratory","Parasitology 2",Biomedical,NULL
U-MM094,CX21FSI,5F91090,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Pediatric Laboratory 1",Biomedical,NULL
U-MM095,CX21FSI,5F91321,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Pediatric Laboratory 1",Biomedical,NULL
U-MM096,CX21FSI,5F91095,NULL,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Pediatric Laboratory 1",Biomedical,NULL
U-MM097,NULL,10066716,NULL,"Walter Reed Program",NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A 1",Biomedical,NULL
U-MM098,R-T320EUKIK-1,2111200751,NULL,WHO,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A 1",Biomedical,NULL
U-MM099,424,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A 1",Biomedical,NULL
U-MM100,Forlife,NULL,NULL,NULL,2007-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A 1",Biomedical,NULL
U-MM101,"sonoline Sienna","DBE 0487",2002,NULL,2009-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Echo Room 2",Biomedical,NULL
U-MM102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Echo Room 2",Biomedical,NULL
U-MM103,"Sonoace X8",b02508300004464,NULL,NULL,2011-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Echo Room 2",Biomedical,NULL
U-MM104,"3666794, Coaguchek X5",UPO153784,NULL,"Save a Child's Heart",2002-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Echo Room 2",Biomedical,NULL
U-MM105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Echo Room Cot Ward A 2",Biomedical,NULL
U-MM106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Echo Room Cot Ward A 2",Biomedical,NULL
U-MM107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 1 1",Biomedical,NULL
U-MM108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 1 1",Biomedical,NULL
U-MM109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 1 1",Biomedical,NULL
U-MM110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 1 1",Biomedical,NULL
U-MM111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 1 1",Biomedical,NULL
U-MM112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 1 1",Biomedical,NULL
U-MM113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 1 1",Biomedical,NULL
U-MM114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 1 1",Biomedical,NULL
U-MM115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 1 1",Biomedical,NULL
U-MM116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM123,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM127,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM132,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Ward 2 1",Biomedical,NULL
U-MM134,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Corridor 2",Biomedical,NULL
U-MM135,"MP 25",NULL,NULL,Chara,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM136,"RG 2250 Indesit",DF23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Staff Room 1",Biomedical,NULL
U-MM137,"1524kl healthometer",1524001652,NULL,Chara,0000-00-00,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A 2",Biomedical,NULL
U-MM138,NULL,032437,NULL,UNICEF,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A 2",Biomedical,NULL
U-MM139,xhz-90,NULL,NULL,"Haukeland University",NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Corridor 2",Biomedical,NULL
U-MM140,XHZ-90,NULL,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM141,XHZ-90,NULL,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM142,"Vario 18",1343612,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM143,porta-neb,11A1510093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM144,"OPI 1020006",0072417,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM145,"OPI 1020006",0072359,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM146,"OPI 1020006",0072393,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM147,"argus LCM Plus",780.04022,NULL,"Japan International Cooperation Agency",2003-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM148,"m12041a 24c omnicare",3642a12915,NULL,"Japan International Cooperation Agency",NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM149,NULL,NULL,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM151,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM153,porta-neb,1999pm99431,NULL,NULL,2007-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM156,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Intensive Pediatric Care 2",Biomedical,NULL
U-MM157,NULL,1450001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A 2",Biomedical,NULL
U-MM158,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Pediatric Clinic 1",Biomedical,NULL
U-MM159,NULL,1450756,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Pediatric Clinic 2",Biomedical,NULL
U-MM160,"lian scenic-5",477288,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Pediatric Clinic 1",Biomedical,NULL
U-MM161,porta-neb,11a1300016,NULL,"Haukeland University",2012-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Pediatric Clinic 1",Biomedical,NULL
U-MM280,NULL,NULL,NULL,MOH,2010-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward B 2",Biomedical,NULL
U-MM281,"A3-214-535, Via Canove n.2/a",NULL,NULL,MOH,2010-01-01,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward B 2",Biomedical,NULL
U-MM292,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Staff Room 1",Biomedical,NULL
U-MM293,811021859,1881078090753,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Staff Room 1",Biomedical,NULL
U-MM294,2171721009,19/09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Staff Room 1",Biomedical,NULL
U-MM295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Pediatric","Cot Ward A Staff Room 1",Biomedical,NULL
U-MM133,"super arctic 7002t",30454,2009,ICAP,NULL,NULL,NULL,NULL,NULL,"MMH Laborotary","Lab Office 2",Biomedical,NULL
U-MM162,NULL,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Room 1 1",Biomedical,NULL
U-MM163,NULL,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Room 1 1",Biomedical,NULL
U-MM164,NULL,NULL,NULL," ",NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Room 1 1",Biomedical,NULL
U-MM165,NULL,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Room 2 1",Biomedical,NULL
U-MM166,"BTL-16 Plus",1B9119003,NULL,DANIDA,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Room 2 1",Biomedical,NULL
U-MM167,BTC-5620,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Room 3 1",Biomedical,NULL
U-MM168,NULL,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Room 3 1",Biomedical,NULL
U-MM169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Veranda 1",Biomedical,NULL
U-MM170,NULL,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Veranda 1",Biomedical,NULL
U-MM171,NULL,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Veranda 1",Biomedical,NULL
U-MM172,NULL,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Gymnasium 1",Biomedical,NULL
U-MM173,NULL,NULL,NULL,DANIDA,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Gymnasium 1",Biomedical,NULL
U-MM174,NULL,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Gymnasium 1",Biomedical,NULL
U-MM175,NULL,NULL,NULL,DANIDA,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Gymnasium 1",Biomedical,NULL
U-MM176,NULL,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Gymnasium 1",Biomedical,NULL
