asset_id,status,utilization,remarks
P-PHL019,"Fully Functional",Normal,NULL
P-PHL020,"Fully Functional","Very High",NULL
P-PHL021,"Fully Functional","Very High",NULL
P-PHL022,"Fully Functional","Very High",NULL
P-PHL023,"Fully Functional",Normal,NULL
P-PHL024,"Fully Functional",Normal,"Installed 2011, camera needs upgrade"
P-PHL025,"Fully Functional",Normal,NULL
P-PHL026,"Fully Functional",Normal,NULL
P-PHL027,"Fully Functional",Normal,NULL
P-PHL028,"Fully Functional",Normal,NULL
P-PHL029,"Fully Functional",Normal,NULL
P-PHL030,"Fully Functional",Normal,NULL
P-PHL031,"Needs Minor Repair","No Utilization","Needs air stabilization sensor. Part has been received but not yet installed."
P-PHL032,"Fully Functional",Normal,NULL
P-PHL033,"Fully Functional",Normal,NULL
P-PHL034,"Fully Functional",Normal,NULL
P-PHL035,"Fully Functional",Normal,NULL
P-PHL036,"Needs Minor Repair",Normal,"Heating element defective, right de/calcifying agent a problem"
P-PHL037,"Fully Functional",Normal,NULL
P-PHL038,"Fully Functional",Normal,NULL
P-PHL039,"Fully Functional","No Utilization",NULL
P-PHL040,"Not Functional","No Utilization","Power cord is frayed"
P-PHL041,"Not Functional","No Utilization",NULL
P-PHL042,"Fully Functional","No Utilization","Needs reagents"
P-PHL043,"Fully Functional",Normal,NULL
P-PHL044,"Not Functional","No Utilization",NULL
P-PHL045,"Fully Functional","No Utilization","Needs reagents"
P-PHL046,"Not Functional","No Utilization","Needs gasket"
P-PHL047,"Needs Major Repair",Normal,NULL
P-PHL048,"Fully Functional",Normal,NULL
P-PHL049,"Fully Functional",Normal,NULL
P-PHL050,"Needs Minor Repair",Normal,"Does not display mass readings"
P-PHL051,"Fully Functional",Normal,NULL
P-PHL052,"Fully Functional",Normal,NULL
P-PHL053,"Fully Functional",Normal,"BD: +254(20)2738339/40"
P-PHL054,"Fully Functional",Normal,"BD: +254(20)2738339/40"
P-PHL055,"Fully Functional",Normal,NULL
P-PHL056,"Fully Functional",Normal,NULL
P-PHL057,"Fully Functional",Normal,NULL
P-PHL058,"Fully Functional",Normal,NULL
P-PHL059,"Fully Functional","Very Low",NULL
P-PHL060,"Fully Functional",Normal,NULL
P-PHL061,"Fully Functional","No Utilization","Not callibrated"
P-PHL062,"Fully Functional",Normal,NULL
P-PHL063,"Fully Functional",Normal,NULL
P-PHL064,"Fully Functional",Normal,NULL
P-PHL065,"Fully Functional",Normal,NULL
P-PHL066,"Fully Functional",Normal,NULL
P-PHL067,"Fully Functional",Normal,"New, check warranty"
P-PHL068,"Fully Functional",Normal,"New, check warranty"
P-PHL069,"Fully Functional",Normal,"New, check warranty"
P-PHL070,"Fully Functional",Normal,"New, check warranty"
P-PHL071,"Fully Functional",Normal,"New, check warranty"
P-PHL072,"Fully Functional",Normal,"New, check warranty"
P-PHL073,"Fully Functional",Normal,NULL
P-PHL074,"Fully Functional",Normal,NULL
P-PHL075,"Fully Functional",Normal,NULL
P-PHL076,"Fully Functional",Normal,NULL
P-PHL077,"Needs Major Repair","Very Low",NULL
P-PHL078,"Fully Functional","No Utilization",NULL
P-PHL079,"Needs Major Repair","No Utilization",NULL
P-PHL080,"Fully Functional",Normal,NULL
P-PHL081,"Fully Functional",Normal,NULL
P-PHL082,"Fully Functional",Normal,NULL
P-PHL083,"Fully Functional",Normal,NULL
P-PHL084,"Fully Functional",Normal,NULL
P-PHL085,"Needs Major Repair",Normal,NULL
P-PHL086,"Fully Functional",Normal,NULL
P-PHL087,"Fully Functional",Normal,NULL
P-PHL088,"Fully Functional",Normal,NULL
P-PHL089,"Fully Functional",Normal,NULL
P-PHL090,"Fully Functional",Normal,NULL
P-PHL091,"Fully Functional",Normal,NULL
P-PHL092,"Fully Functional",Normal,NULL
P-PHL093,"Fully Functional",Normal,NULL
P-PHL094,"Fully Functional",Normal,NULL
P-PHL095,"Fully Functional",Normal,NULL
P-PHL096,"Fully Functional",Normal,NULL
P-PHL097,"Not Functional","No Utilization","cannot be fixed, kept for spare parts"
P-PHL098,"Not Functional","No Utilization",NULL
P-PHL099,"Not Functional","No Utilization",NULL
P-PHL100,"Not Functional","No Utilization",NULL
P-PHL101,"Fully Functional","No Utilization",NULL
P-PHL102,"Fully Functional","No Utilization",NULL
P-PHL103,"Not Functional","No Utilization",NULL
P-PHL104,"Fully Functional","No Utilization","replaced by newer model"
P-PHL105,"Not Functional","No Utilization",NULL
P-PHL106,"Not Functional","No Utilization",NULL
P-PHL107,"Not Functional","No Utilization",NULL
P-PHL108,"Not Functional","No Utilization",NULL
P-PHL109,"Not Functional","No Utilization",NULL
P-PHL110,"Not Functional","No Utilization",NULL
P-PHL111,"Not Functional","No Utilization",NULL
P-PHL112,"Not Functional","No Utilization",NULL
P-PHL113,"Not Functional","No Utilization",NULL
P-PHL114,"Not Functional","No Utilization",NULL
P-PHL115,"Not Functional","No Utilization",NULL
P-PHL116,"Not Functional","No Utilization",NULL
P-PHL117,"Not Functional","No Utilization",NULL
P-PHL118,"Not Functional","No Utilization",NULL
P-PHL119,"Not Functional","No Utilization",NULL
P-PHL120,"Not Functional","No Utilization",NULL
P-PHL121,"Not Functional","No Utilization",NULL
P-PHL122,"Not Functional","No Utilization",NULL
P-PHL123,"Not Functional","No Utilization",NULL
P-PHL124,"Not Functional","No Utilization",NULL
P-PHL125,"Not Functional","No Utilization",NULL
P-PHL126,"Not Functional","No Utilization",NULL
P-PHL127,"Not Functional","No Utilization",NULL
P-PHL128,"Fully Functional","No Utilization",NULL
P-PHL129,"Fully Functional","No Utilization",NULL
P-PHL130,"Fully Functional","No Utilization",NULL
P-PHL131,"Fully Functional","No Utilization",NULL
P-PHL132,"Fully Functional","No Utilization",NULL
P-PHL133,"Fully Functional","No Utilization",NULL
P-PHL134,"Fully Functional","Very Low",NULL
U-MM001,"Fully Functional",Normal,NULL
U-MM002,"Fully Functional",Normal,NULL
U-MM003,"Fully Functional",Normal,"Sanas conducts yearly calibrations"
U-MM004,"Fully Functional",Normal,NULL
U-MM005,"Fully Functional",Normal,NULL
U-MM006,"Fully Functional",Normal,NULL
U-MM007,"Fully Functional",Normal,NULL
U-MM008,"Fully Functional",Normal,NULL
U-MM009,"Fully Functional",Normal,NULL
U-MM010,"Fully Functional",Normal,NULL
U-MM011,"Fully Functional",Normal,NULL
U-MM012,"Fully Functional",Normal,NULL
U-MM013,"Fully Functional",Normal,NULL
U-MM014,"Fully Functional",Normal,NULL
U-MM015,"Fully Functional",Normal,NULL
U-MM016,"Fully Functional",Normal,NULL
U-MM017,"Fully Functional",Normal,NULL
U-MM018,"Fully Functional",Normal,"Calibrated by Sanas, Preventive Maitenance by Sanas"
U-MM019,"Fully Functional",Normal,NULL
U-MM020,"Fully Functional",Normal,NULL
U-MM021,"Fully Functional",Normal,"Calibrated by Sanas"
U-MM022,"Fully Functional","No Utilization","No use because reagents not available"
U-MM023,"Fully Functional",Normal,NULL
U-MM024,"Fully Functional",Normal,NULL
U-MM025,"Fully Functional",Normal,NULL
U-MM026,"Fully Functional",Normal,NULL
U-MM027,"Fully Functional",Normal,NULL
U-MM028,"Fully Functional","No Utilization","No use because reagents not available"
U-MM029,"Fully Functional","No Utilization","No use because reagents not available"
U-MM030,"Fully Functional",Normal,NULL
U-MM031,"Fully Functional",Normal,NULL
U-MM032,"Fully Functional",Normal,NULL
U-MM033,"Fully Functional","No Utilization","Incompatible plug, 110v 60HZ"
U-MM034,"Fully Functional","No Utilization","Some accessories missing + incompatible plug, 90V"
U-MM035,"Not Functional","No Utilization",NULL
U-MM036,"Not Functional","No Utilization","Accessories incomplete"
U-MM037,"Not Functional","No Utilization","Accessories incomplete"
U-MM038,"Not Functional","No Utilization","Accessories incomplete"
U-MM039,"Fully Functional",Normal,NULL
U-MM040,"Fully Functional",Normal,NULL
U-MM041,"Fully Functional","No Utilization","Has not been installed"
U-MM042,"Not Functional","No Utilization","Compressor broken"
U-MM043,"Not Functional","No Utilization",NULL
U-MM044,"Fully Functional",Normal,NULL
U-MM045,"Fully Functional",Normal,NULL
U-MM046,"Fully Functional",Normal,NULL
U-MM047,"Not Functional","No Utilization",NULL
U-MM048,"Not Functional","No Utilization","Never been used, key slot is broken, bulb is missing, key is missing. Damaged from movement"
U-MM049,"Fully Functional",Normal,NULL
U-MM050,"Fully Functional",Normal,NULL
U-MM051,"Fully Functional","No Utilization","Another one in use"
U-MM052,"Not Functional","No Utilization",NULL
U-MM053,"Not Functional","No Utilization",NULL
U-MM054,"Not Functional","No Utilization",NULL
U-MM055,"Fully Functional","No Utilization",NULL
U-MM056,"Fully Functional","No Utilization",NULL
U-MM057,"Fully Functional","No Utilization","Another one in use"
U-MM058,"Fully Functional","No Utilization","Another one in use"
U-MM059,"Fully Functional","No Utilization","Another one in use"
U-MM060,"Fully Functional","No Utilization","Another one in use"
U-MM061,"Fully Functional","No Utilization","Another one in use"
U-MM062,"Fully Functional","Very Low","Another one in use"
U-MM063,"Fully Functional","No Utilization","Another one in use"
U-MM064,"Fully Functional","No Utilization","Another one in use"
U-MM065,"Fully Functional","No Utilization","Another one in use"
U-MM066,"Fully Functional",Normal,NULL
U-MM067,"Fully Functional","No Utilization","Another one in use"
U-MM068,"Fully Functional","No Utilization",NULL
U-MM069,"Fully Functional","No Utilization",NULL
U-MM070,"Fully Functional","No Utilization","Reagents out of stock"
U-MM071,"Not Functional","No Utilization",NULL
U-MM072,"Not Functional","No Utilization",NULL
U-MM073,"Not Functional","No Utilization",NULL
U-MM074,"Fully Functional","Very High","International Hotline: +49(0) 7462/2005-555, service@binder-world.com"
U-MM075,"Fully Functional",Normal,NULL
U-MM076,"Fully Functional",Normal,NULL
U-MM077,"Fully Functional",Normal,NULL
U-MM078,"Fully Functional",Normal,NULL
U-MM079,"Fully Functional",Normal,"Kas Medics +255222111896, adarsha@kasmedics.com"
U-MM080,"Fully Functional",Normal,NULL
U-MM081,"Fully Functional","No Utilization","Another one in use"
U-MM082,"Fully Functional","Very High",NULL
U-MM083,"Fully Functional",Normal,NULL
U-MM084,"Not Functional","No Utilization",NULL
U-MM085,"Fully Functional",Normal,NULL
U-MM086,"Fully Functional",Normal,NULL
U-MM087,"Fully Functional",Normal,NULL
U-MM088,"Fully Functional",Normal,NULL
U-MM089,"Fully Functional",Normal,NULL
U-MM090,"Fully Functional",Normal,NULL
U-MM091,"Fully Functional",Normal,NULL
U-MM092,"Fully Functional",Normal,NULL
U-MM093,"Fully Functional",Normal,NULL
U-MM094,"Fully Functional",Normal,NULL
U-MM095,"Not Functional","No Utilization",NULL
U-MM096,"Not Functional","No Utilization","Bulb broken"
U-MM097,"Fully Functional",Normal,NULL
U-MM098,"Fully Functional",Normal,NULL
U-MM099,"Not Functional","No Utilization",NULL
U-MM100,"Not Functional","No Utilization",NULL
U-MM101,"Not Functional","No Utilization",NULL
U-MM102,"Fully Functional","No Utilization",NULL
U-MM103,"Fully Functional",Normal,NULL
U-MM104,"Not Functional","No Utilization","Funder: Azur 58008, Israel, sach@barak-online.net, 972-3-558-9656"
