id,status,utilization,remarks
39,"Fully Functional",Normal,NULL
40,"Fully Functional","Very Low","the older of 2 ultrasounds"
41,"Fully Functional","Very Low","the older of 2 ultrasounds"
42,"Fully Functional",Normal,NULL
43,"Fully Functional",Normal,NULL
44,"Not Functional","No Utilization","screen does not light up"
45,"Not Functional","No Utilization","never used, needs halothane vaporizer; gas and air lines do not match tanks and compressor"
46,"Fully Functional",Normal,NULL
47,"Fully Functional",Normal,"not connected to anything"
48,"Not Functional","No Utilization","unknown problem, never been used"
49,"Fully Functional","Very High",NULL
50,"Fully Functional",Normal,NULL
51,"Fully Functional",Normal,NULL
52,"Fully Functional",Normal,NULL
53,"Fully Functional","Very Low","no problem"
54,"Fully Functional",Normal,NULL
55,"Fully Functional","Very High","hooked up to #51 anesthesia machine"
56,"Fully Functional","Very High","only suction machine in main theater"
57,"Fully Functional",Normal,NULL
58,"Not Functional","No Utilization","some parts broken"
59,"Fully Functional","Very High",NULL
60,"Not Functional","No Utilization","it needs repair"
61,"Fully Functional","Very High","no problem"
62,"Fully Functional","No Utilization","not installed"
63,"Not Functional","No Utilization","needs repair"
64,"Not Functional","No Utilization","unknown electrical issue"
65,"Not Functional","No Utilization",broken
66,"Fully Functional",Normal,NULL
67,"Fully Functional",Normal,NULL
68,"Needs Major Repair",Normal,"spare parts not available"
69,"Needs Major Repair","Very High",NULL
70,"Fully Functional","Very High",NULL
71,"Not Functional","No Utilization",NULL
72,"Fully Functional",Normal,NULL
73,"Fully Functional",Normal,NULL
74,"Not Functional","No Utilization","atesting no be not working"
75,"Not Functional","No Utilization",NULL
76,"Not Functional","No Utilization",NULL
77,"Fully Functional",Normal,NULL
78,"Fully Functional",Normal,NULL
79,"Fully Functional",Normal,NULL
80,"Needs Minor Repair",Normal,NULL
81,"Fully Functional","Very High",NULL
82,"Fully Functional",Normal,NULL
83,"Needs Minor Repair","Very Low","not calibrated; in the wrong department"
84,"Fully Functional",Normal,NULL
85,"Not Functional","No Utilization",NULL
86,"Needs Major Repair","Very High",NULL
87,"Needs Major Repair",Normal,NULL
88,"Not Functional","No Utilization","wrong light for dental clinic. Wrong parts, no bulb, using flashlight instead"
89,"Fully Functional","No Utilization","no need for Ward Bed in department; used as a desk for dentist"
90,"Needs Minor Repair",Normal,NULL
91,"Fully Functional",Normal,NULL
92,"Needs Minor Repair",Normal,"Broken bulb"
93,"Fully Functional",Normal,NULL
94,"Fully Functional",Normal,NULL
95,"Fully Functional",Normal,NULL
96,"Fully Functional",Normal,NULL
97,"Fully Functional",Normal,NULL
98,"Fully Functional",Normal,NULL
99,"Fully Functional",Normal,NULL
100,"Fully Functional",Normal,NULL
101,"Fully Functional",Normal,NULL
102,"Not Functional","No Utilization",NULL
103,"Fully Functional",Normal,NULL
104,"Fully Functional","No Utilization","used as desk, patients not seen in room"
105,"Fully Functional",Normal,NULL
106,"Fully Functional",Normal,NULL
107,"Fully Functional",Normal,NULL
108,"Not Functional","No Utilization",NULL
109,"Not Functional","No Utilization",broken
110,"Fully Functional",Normal,NULL
111,"Fully Functional",Normal,NULL
112,"Needs Minor Repair","Very High",NULL
113,"Needs Minor Repair","Very High",NULL
114,"Fully Functional","Very Low",NULL
115,"Not Functional","No Utilization",NULL
116,"Fully Functional",Normal,NULL
117,"Not Functional","No Utilization",NULL
118,"Needs Major Repair","Very Low",NULL
119,"Fully Functional","No Utilization","sitting idle in main corridor"
120,"Not Functional","No Utilization",NULL
121,"Fully Functional",Normal,NULL
122,"Fully Functional",Normal,NULL
123,"Fully Functional",Normal,NULL
124,"Fully Functional",Normal,NULL
125,"Fully Functional",Normal,NULL
126,"Fully Functional",Normal,NULL
127,"Fully Functional",Normal,NULL
128,"Fully Functional",Normal,NULL
129,"Fully Functional","Very High",NULL
130,"Not Functional","No Utilization",NULL
131,"Not Functional","No Utilization",NULL
132,"Fully Functional",Normal,NULL
133,"Fully Functional","Very Low",NULL
134,"Not Functional","No Utilization",NULL
135,"Fully Functional","Very High",NULL
136,"Not Functional","No Utilization",NULL
137,"Needs Major Repair","No Utilization"," "
138,"Fully Functional","Very High",NULL
139,"Not Functional","No Utilization",NULL
140,"Fully Functional",Normal,NULL
141,"Fully Functional","No Utilization",NULL
142,"Not Functional","No Utilization",NULL
143,"Needs Major Repair","Very Low",NULL
144,"Fully Functional",Normal,NULL
145,"Not Functional","No Utilization",NULL
146,"Fully Functional",Normal,NULL
147,"Not Functional","No Utilization",NULL
148,"Fully Functional",Normal,NULL
149,"Fully Functional",Normal,NULL
150,"Fully Functional",Normal,NULL
151,"Not Functional","No Utilization",NULL
152,"Not Functional","No Utilization",NULL
153,"Not Functional","No Utilization",NULL
154,"Needs Minor Repair","No Utilization",NULL
155,"Fully Functional","No Utilization",NULL
156,"Needs Minor Repair","No Utilization","needs electrode"
157,"Fully Functional",Normal,NULL
158,"Fully Functional",Normal,NULL
159,"Not Functional","No Utilization",NULL
160,"Fully Functional","No Utilization","Not installed"
161,"Not Functional","No Utilization",NULL
162,"Fully Functional",Normal,NULL
163,"Fully Functional",Normal,NULL
164,"Needs Minor Repair","No Utilization",NULL
165,"Not Functional","No Utilization",NULL
166,"Fully Functional",Normal,NULL
167,"Fully Functional",Normal,NULL
168,"Fully Functional",Normal,NULL
169,"Fully Functional",Normal,NULL
170,"Fully Functional",Normal,NULL
171,"Fully Functional",Normal,NULL
172,"Fully Functional",Normal,NULL
173,"Fully Functional",Normal,NULL
174,"Fully Functional",Normal,NULL
175,"Fully Functional",Normal,NULL
176,"Fully Functional",Normal,NULL
177,"Fully Functional",Normal,NULL
178,"Fully Functional",Normal,NULL
179,"Fully Functional",Normal,NULL
180,"Fully Functional",Normal,NULL
181,"Fully Functional",Normal,NULL
182,"Fully Functional",Normal,NULL
183,"Fully Functional",Normal,NULL
184,"Fully Functional",Normal,NULL
185,"Fully Functional",Normal,NULL
186,"Fully Functional",Normal,NULL
187,"Fully Functional",Normal,NULL
188,"Fully Functional",Normal,NULL
189,"Fully Functional",Normal,NULL
190,"Fully Functional",Normal,NULL
191,"Fully Functional",Normal,NULL
192,"Needs Minor Repair","Very Low",NULL
193,"Fully Functional",Normal,NULL
194,"Fully Functional",Normal,NULL
195,"Fully Functional",Normal,NULL
196,"Fully Functional",Normal,NULL
197,"Fully Functional",Normal,NULL
198,"Fully Functional",Normal,NULL
199,"Needs Major Repair",Normal,NULL
200,"Fully Functional",Normal,NULL
201,"Fully Functional",Normal,NULL
202,"Fully Functional",Normal,NULL
203,"Fully Functional",Normal,NULL
204,"Fully Functional",Normal,NULL
205,"Fully Functional",Normal,NULL
206,"Fully Functional",Normal,NULL
207,"Fully Functional",Normal,NULL
208,"Fully Functional",Normal,NULL
209,"Fully Functional",Normal,NULL
210,"Fully Functional",Normal,NULL
211,"Fully Functional",Normal,NULL
212,"Fully Functional",Normal,NULL
213,"Fully Functional",Normal,NULL
214,"Fully Functional",Normal,NULL
215,"Fully Functional",Normal,NULL
216,"Fully Functional",Normal,NULL
217,"Fully Functional",Normal,NULL
218,"Fully Functional",Normal,NULL
219,"Fully Functional",Normal,NULL
220,"Fully Functional",Normal,NULL
221,"Fully Functional",Normal,NULL
222,"Fully Functional",Normal,NULL
223,"Fully Functional",Normal,NULL
224,"Fully Functional",Normal,"user entry error?"
225,"Fully Functional",Normal,NULL
226,"Fully Functional",Normal,NULL
227,"Fully Functional",Normal,NULL
228,"Fully Functional",Normal,NULL
229,"Fully Functional",Normal,NULL
230,"Fully Functional",Normal,NULL
231,"Fully Functional",Normal,"user entry error?"
232,"Fully Functional",Normal,"user entry error?"
233,"Fully Functional",Normal,"user entry error?"
234,"Fully Functional",Normal,"user entry error?"
235,"Needs Minor Repair",Normal,"user entry error?"
236,"Fully Functional",Normal,"user entry error?"
237,"Needs Minor Repair",Normal,"user entry error?"
238,"Fully Functional",Normal,"user entry error?"
239,"Needs Minor Repair",Normal,"user entry error?"
240,"Needs Minor Repair",Normal,"user entry error?"
241,"Fully Functional",Normal,"user entry error?"
242,"Fully Functional",Normal,"user entry error?"
243,"Fully Functional",Normal,"user entry error?"
244,"Fully Functional",Normal,"user entry error?"
245,"Fully Functional",Normal,NULL
246,"Needs Major Repair","Very Low",NULL
247,"Not Functional","No Utilization",NULL
248,"Fully Functional",Normal,NULL
249,"Needs Minor Repair","Very High","user entry error?"
250,"Needs Minor Repair","Very High","user entry error?"
251,"Needs Minor Repair","Very High","user entry error?"
252,"Needs Minor Repair","Very High","user entry error?"
253,"Needs Minor Repair","Very High","user entry error?"
254,"Needs Minor Repair","Very High","user entry error?"
255,"Needs Minor Repair","Very High","user entry error?"
256,"Needs Minor Repair","Very High","user entry error?"
257,"Fully Functional",Normal,"user entry error?"
258,"Fully Functional",Normal,"user entry error?"
259,"Fully Functional",Normal,"user entry error?"
260,"Fully Functional",Normal,"user entry error?"
261,"Fully Functional",Normal,"user entry error?"
262,"Fully Functional",Normal,"user entry error?"
263,"Fully Functional",Normal,"user entry error?"
264,"Fully Functional",Normal,"user entry error?"
265,"Fully Functional",Normal,"user entry error?"
266,"Fully Functional",Normal,"user entry error?"
267,"Fully Functional",Normal,"user entry error?"
268,"Needs Minor Repair","Very High",NULL
269,"Fully Functional",Normal,NULL
270,"Fully Functional",Normal,NULL
271,"Fully Functional",Normal,NULL
272,"Needs Major Repair","No Utilization",NULL
273,"Needs Major Repair","Very High",NULL
274,"Fully Functional",Normal,"user entry error?"
275,"Fully Functional",Normal,"user entry error?"
276,"Fully Functional",Normal,NULL
277,"Fully Functional",Normal,"user entry error?"
278,"Fully Functional",Normal,"user entry error?"
279,"Needs Minor Repair","Very High","user entry error?"
280,"Needs Minor Repair","Very High","user entry error?"
281,"Fully Functional",Normal,"user entry error?"
282,"Not Functional","No Utilization",NULL
283,"Not Functional","No Utilization",NULL
284,"Fully Functional",Normal,"user entry error?"
285,"Fully Functional",Normal,"user entry error?"
286,"Fully Functional",Normal,NULL
287,"Fully Functional",Normal,NULL
288,"Fully Functional",Normal,NULL
289,"Needs Major Repair","Very High",NULL
290,"Fully Functional",Normal,NULL
291,"Not Functional","No Utilization",NULL
292,"Fully Functional",Normal,NULL
293,"Not Functional","No Utilization",NULL
294,"Fully Functional",Normal,NULL
295,"Not Functional","No Utilization",NULL
296,"Fully Functional",Normal,NULL
297,"Fully Functional",Normal,NULL
298,"Not Functional",Normal,NULL
299,"Not Functional","No Utilization",NULL
300,"Not Functional","No Utilization",NULL
301,"Not Functional","No Utilization",NULL
302,"Not Functional","No Utilization",NULL
303,"Not Functional","No Utilization",NULL
304,"Not Functional","No Utilization",NULL
305,"Not Functional","No Utilization",NULL
306,"Fully Functional","No Utilization",NULL
307,"Not Functional","No Utilization",NULL
308,"Fully Functional","No Utilization",NULL
309,"Not Functional","No Utilization","needs new bulb"
310,"Not Functional","No Utilization",irreparable
311,"Not Functional","No Utilization",NULL
312,"Fully Functional","No Utilization",NULL
313,"Fully Functional","No Utilization",NULL
314,"Fully Functional","No Utilization",NULL
315,"Not Functional","No Utilization",NULL
316,"Needs Minor Repair","Very High","user entry error?"
317,"Needs Minor Repair","Very High","user entry error?"
318,"Fully Functional",Normal,NULL
319,"Fully Functional",Normal,NULL
320,"Fully Functional",Normal,NULL
321,"Fully Functional",Normal,NULL
322,"Needs Minor Repair",Normal,"gas down"
323,"Fully Functional",Normal,NULL
324,"Fully Functional",Normal,NULL
325,"Fully Functional",Normal,NULL
326,"Fully Functional",Normal,NULL
327,"Not Functional","No Utilization","timer defective"
328,"Fully Functional",Normal,NULL
329,"Fully Functional","No Utilization","occasional electrical errors"
330,"Fully Functional",Normal,NULL
331,"Fully Functional","No Utilization","not needed"
332,"Fully Functional","No Utilization","not needed"
333,"Fully Functional","No Utilization","not needed"
334,"Fully Functional",Normal,NULL
335,"Fully Functional",Normal,NULL
336,"Not Functional","No Utilization","power cord cut and frayed"
337,"Fully Functional",Normal,NULL
338,"Fully Functional",Normal,NULL
339,"Fully Functional","Very High",NULL
340,"Fully Functional","Very High",NULL
341,"Fully Functional","Very High",NULL
342,"Fully Functional",Normal,NULL
343,"Fully Functional",Normal,"Installed 2011, camera needs upgrade"
344,"Fully Functional",Normal,NULL
345,"Fully Functional",Normal,NULL
346,"Fully Functional",Normal,NULL
347,"Fully Functional",Normal,NULL
348,"Fully Functional",Normal,NULL
349,"Fully Functional",Normal,NULL
350,"Needs Minor Repair","No Utilization","Needs air stabilization sensor. Part has been received but not yet installed."
351,"Fully Functional",Normal,NULL
352,"Fully Functional",Normal,NULL
353,"Fully Functional",Normal,NULL
354,"Fully Functional",Normal,NULL
355,"Needs Minor Repair",Normal,"Heating element defective, right de/calcifying agent a problem"
356,"Fully Functional",Normal,NULL
357,"Fully Functional",Normal,NULL
358,"Fully Functional","No Utilization",NULL
359,"Not Functional","No Utilization","Power cord is frayed"
360,"Not Functional","No Utilization",NULL
361,"Fully Functional","No Utilization","Needs reagents"
362,"Fully Functional",Normal,NULL
363,"Not Functional","No Utilization",NULL
364,"Fully Functional","No Utilization","Needs reagents"
365,"Not Functional","No Utilization","Needs gasket"
366,"Needs Major Repair",Normal,NULL
367,"Fully Functional",Normal,NULL
368,"Fully Functional",Normal,NULL
369,"Needs Minor Repair",Normal,"Does not display mass readings"
370,"Fully Functional",Normal,NULL
371,"Fully Functional",Normal,NULL
372,"Fully Functional",Normal,"BD: +254(20)2738339/40"
373,"Fully Functional",Normal,"BD: +254(20)2738339/40"
374,"Fully Functional",Normal,NULL
375,"Fully Functional",Normal,NULL
376,"Fully Functional",Normal,NULL
377,"Fully Functional",Normal,NULL
378,"Fully Functional","Very Low",NULL
379,"Fully Functional",Normal,NULL
380,"Fully Functional","No Utilization","Not callibrated"
381,"Fully Functional",Normal,NULL
382,"Fully Functional",Normal,NULL
383,"Fully Functional",Normal,NULL
384,"Fully Functional",Normal,NULL
385,"Fully Functional",Normal,NULL
386,"Fully Functional",Normal,"New, check warranty"
387,"Fully Functional",Normal,"New, check warranty"
388,"Fully Functional",Normal,"New, check warranty"
389,"Fully Functional",Normal,"New, check warranty"
390,"Fully Functional",Normal,"New, check warranty"
391,"Fully Functional",Normal,"New, check warranty"
392,"Fully Functional",Normal,NULL
393,"Fully Functional",Normal,NULL
394,"Fully Functional",Normal,NULL
395,"Fully Functional",Normal,NULL
396,"Needs Major Repair","Very Low",NULL
397,"Fully Functional","No Utilization",NULL
398,"Needs Major Repair","No Utilization",NULL
399,"Fully Functional",Normal,NULL
400,"Fully Functional",Normal,NULL
401,"Fully Functional",Normal,NULL
402,"Fully Functional",Normal,NULL
403,"Fully Functional",Normal,NULL
404,"Needs Major Repair",Normal,NULL
405,"Fully Functional",Normal,NULL
406,"Fully Functional",Normal,NULL
407,"Fully Functional",Normal,NULL
408,"Fully Functional",Normal,NULL
409,"Fully Functional",Normal,NULL
410,"Fully Functional",Normal,NULL
411,"Fully Functional",Normal,NULL
412,"Fully Functional",Normal,NULL
413,"Fully Functional",Normal,NULL
414,"Fully Functional",Normal,NULL
415,"Fully Functional",Normal,NULL
416,"Not Functional","No Utilization","cannot be fixed, kept for spare parts"
417,"Not Functional","No Utilization",NULL
418,"Not Functional","No Utilization",NULL
419,"Not Functional","No Utilization",NULL
420,"Fully Functional","No Utilization",NULL
421,"Fully Functional","No Utilization",NULL
422,"Not Functional","No Utilization",NULL
423,"Fully Functional","No Utilization","replaced by newer model"
424,"Not Functional","No Utilization",NULL
425,"Not Functional","No Utilization",NULL
426,"Not Functional","No Utilization",NULL
427,"Not Functional","No Utilization",NULL
428,"Not Functional","No Utilization",NULL
429,"Not Functional","No Utilization",NULL
430,"Not Functional","No Utilization",NULL
431,"Not Functional","No Utilization",NULL
432,"Not Functional","No Utilization",NULL
433,"Not Functional","No Utilization",NULL
434,"Not Functional","No Utilization",NULL
435,"Not Functional","No Utilization",NULL
436,"Not Functional","No Utilization",NULL
437,"Not Functional","No Utilization",NULL
438,"Not Functional","No Utilization",NULL
439,"Not Functional","No Utilization",NULL
440,"Not Functional","No Utilization",NULL
441,"Not Functional","No Utilization",NULL
442,"Not Functional","No Utilization",NULL
443,"Not Functional","No Utilization",NULL
444,"Not Functional","No Utilization",NULL
445,"Not Functional","No Utilization",NULL
446,"Not Functional","No Utilization",NULL
447,"Fully Functional","No Utilization",NULL
448,"Fully Functional","No Utilization",NULL
449,"Fully Functional","No Utilization",NULL
450,"Fully Functional","No Utilization",NULL
451,"Fully Functional","No Utilization",NULL
452,"Fully Functional","No Utilization",NULL
453,"Fully Functional","Very Low",NULL
455,"Fully Functional",Normal,NULL
456,"Fully Functional",Normal,NULL
457,"Fully Functional",Normal,"Sanas conducts yearly calibrations"
458,"Fully Functional",Normal,NULL
459,"Fully Functional",Normal,NULL
460,"Fully Functional",Normal,NULL
461,"Fully Functional",Normal,NULL
462,"Fully Functional",Normal,NULL
463,"Fully Functional",Normal,NULL
464,"Fully Functional",Normal,NULL
465,"Fully Functional",Normal,NULL
466,"Fully Functional",Normal,NULL
467,"Fully Functional",Normal,NULL
468,"Fully Functional",Normal,NULL
469,"Fully Functional",Normal,NULL
470,"Fully Functional",Normal,NULL
471,"Fully Functional",Normal,NULL
472,"Fully Functional",Normal,"Calibrated by Sanas, Preventive Maitenance by Sanas"
473,"Fully Functional",Normal,NULL
474,"Fully Functional",Normal,NULL
475,"Fully Functional",Normal,"Calibrated by Sanas"
476,"Fully Functional","No Utilization","No use because reagents not available"
477,"Fully Functional",Normal,NULL
478,"Fully Functional",Normal,NULL
479,"Fully Functional",Normal,NULL
480,"Fully Functional",Normal,NULL
481,"Fully Functional",Normal,NULL
482,"Fully Functional","No Utilization","No use because reagents not available"
483,"Fully Functional","No Utilization","No use because reagents not available"
484,"Fully Functional",Normal,NULL
485,"Fully Functional",Normal,NULL
486,"Fully Functional",Normal,NULL
487,"Fully Functional","No Utilization","Incompatible plug, 110v 60HZ"
488,"Fully Functional","No Utilization","Some accessories missing + incompatible plug, 90V"
489,"Not Functional","No Utilization",NULL
490,"Not Functional","No Utilization","Accessories incomplete"
491,"Not Functional","No Utilization","Accessories incomplete"
492,"Not Functional","No Utilization","Accessories incomplete"
493,"Fully Functional",Normal,NULL
494,"Fully Functional",Normal,NULL
495,"Fully Functional","No Utilization","Has not been installed"
496,"Not Functional","No Utilization","Compressor broken"
497,"Not Functional","No Utilization",NULL
498,"Fully Functional",Normal,NULL
499,"Fully Functional",Normal,NULL
500,"Fully Functional",Normal,NULL
501,"Not Functional","No Utilization",NULL
502,"Not Functional","No Utilization","Never been used, key slot is broken, bulb is missing, key is missing. Damaged from movement"
503,"Fully Functional",Normal,NULL
504,"Fully Functional",Normal,NULL
505,"Fully Functional","No Utilization","Another one in use"
506,"Not Functional","No Utilization",NULL
507,"Not Functional","No Utilization",NULL
508,"Not Functional","No Utilization",NULL
509,"Fully Functional","No Utilization",NULL
510,"Fully Functional","No Utilization",NULL
511,"Fully Functional","No Utilization","Another one in use"
512,"Fully Functional","No Utilization","Another one in use"
513,"Fully Functional","No Utilization","Another one in use"
514,"Fully Functional","No Utilization","Another one in use"
515,"Fully Functional","No Utilization","Another one in use"
516,"Fully Functional","Very Low","Another one in use"
517,"Fully Functional","No Utilization","Another one in use"
518,"Fully Functional","No Utilization","Another one in use"
519,"Fully Functional","No Utilization","Another one in use"
520,"Fully Functional",Normal,NULL
521,"Fully Functional","No Utilization","Another one in use"
522,"Fully Functional","No Utilization",NULL
523,"Fully Functional","No Utilization",NULL
524,"Fully Functional","No Utilization","Reagents out of stock"
525,"Not Functional","No Utilization",NULL
526,"Not Functional","No Utilization",NULL
527,"Not Functional","No Utilization",NULL
528,"Fully Functional","Very High","International Hotline: +49(0) 7462/2005-555, service@binder-world.com"
529,"Fully Functional",Normal,NULL
530,"Fully Functional",Normal,NULL
531,"Fully Functional",Normal,NULL
532,"Fully Functional",Normal,NULL
533,"Fully Functional",Normal,"Kas Medics +255222111896, adarsha@kasmedics.com"
534,"Fully Functional",Normal,NULL
535,"Fully Functional","No Utilization","Another one in use"
536,"Fully Functional","Very High",NULL
537,"Fully Functional",Normal,NULL
538,"Not Functional","No Utilization",NULL
539,"Fully Functional",Normal,NULL
540,"Fully Functional",Normal,NULL
541,"Fully Functional",Normal,NULL
542,"Fully Functional",Normal,NULL
543,"Fully Functional",Normal,NULL
544,"Fully Functional",Normal,NULL
545,"Fully Functional",Normal,NULL
546,"Fully Functional",Normal,NULL
547,"Fully Functional",Normal,NULL
548,"Fully Functional",Normal,NULL
549,"Not Functional","No Utilization",NULL
550,"Not Functional","No Utilization","Bulb broken"
551,"Fully Functional",Normal,NULL
552,"Fully Functional",Normal,NULL
553,"Not Functional","No Utilization",NULL
554,"Not Functional","No Utilization",NULL
555,"Not Functional","No Utilization",NULL
556,"Fully Functional","No Utilization",NULL
557,"Fully Functional",Normal,NULL
558,"Not Functional","No Utilization","Funder: Azur 58008, Israel, sach@barak-online.net, 972-3-558-9656"
559,"Fully Functional","No Utilization","no use because Ultrasound not in use"
560,"Fully Functional","No Utilization","no use because Ultrasound not in use"
561,"Fully Functional",Normal,NULL
562,"Fully Functional",Normal,NULL
563,"Fully Functional",Normal,NULL
564,"Fully Functional",Normal,NULL
565,"Fully Functional",Normal,NULL
566,"Fully Functional",Normal,NULL
567,"Fully Functional",Normal,NULL
568,"Fully Functional",Normal,NULL
569,"Fully Functional",Normal,NULL
570,"Fully Functional",Normal,NULL
571,"Fully Functional",Normal,NULL
572,"Fully Functional",Normal,NULL
573,"Fully Functional",Normal,NULL
574,"Fully Functional",Normal,NULL
575,"Fully Functional",Normal,NULL
576,"Fully Functional",Normal,NULL
577,"Fully Functional",Normal,NULL
578,"Fully Functional",Normal,NULL
579,"Fully Functional",Normal,NULL
580,"Fully Functional",Normal,NULL
581,"Fully Functional",Normal,NULL
582,"Fully Functional",Normal,NULL
583,"Fully Functional",Normal,NULL
584,"Fully Functional",Normal,NULL
585,"Fully Functional",Normal,NULL
586,"Fully Functional",Normal,NULL
587,"Not Functional","No Utilization",NULL
588,"Needs Major Repair","Very Low","2 table legs broken"
589,"Fully Functional",Normal,NULL
590,"Fully Functional",Normal,NULL
591,"Not Functional","No Utilization","comes with infant-holding chair, technical support: 18006383722"
592,"Not Functional","No Utilization","comes with infant-holding tray"
593,"Not Functional","No Utilization","switch not working"
594,"Fully Functional",Normal,NULL
595,"Fully Functional",Normal,NULL
596,"Fully Functional",Normal,NULL
597,"Fully Functional",Normal,NULL
598,"Fully Functional",Normal,NULL
599,"Fully Functional",Normal,NULL
600,"Fully Functional",Normal,NULL
601,"Fully Functional",Normal,NULL
602,"Not Functional","No Utilization",NULL
603,"Fully Functional",Normal,NULL
604,"Fully Functional",Normal,NULL
605,"Fully Functional",Normal,NULL
606,"Not Functional","No Utilization",NULL
607,"Not Functional","No Utilization",NULL
608,"Needs Minor Repair",Normal,"metal frame under mattresses broken"
609,"Needs Minor Repair",Normal,"metal frame under mattresses broken"
610,"Needs Minor Repair",Normal,"metal frame under mattresses broken"
611,"Fully Functional",Normal,"with child cuff"
612,"Not Functional","No Utilization","w/o cuff"
613,"Fully Functional",Normal,"with child cuff"
614,"Not Functional","No Utilization","with child cuff"
615,"Fully Functional","No Utilization","this is a spare - another one is in use, technical supoort: 8001300845"
616,"Fully Functional","Very High",NULL
617,"Fully Functional",Normal,NULL
618,"Fully Functional","Very High",NULL
619,"Fully Functional","Very High","repaired by danida"
620,"Fully Functional",Normal,NULL
621,"Fully Functional",Normal,NULL
622,"Fully Functional",Normal,NULL
623,"Fully Functional","Very High",NULL
624,"Fully Functional","Very High",NULL
625,"Fully Functional","Very High",NULL
626,"Fully Functional",Normal,NULL
627,"Fully Functional",Normal,NULL
628,"Fully Functional","Very High",NULL
629,"Fully Functional","Very High",NULL
630,"Fully Functional","Very High",NULL
631,"Needs Minor Repair","Very Low",NULL
632,"Not Functional","No Utilization",NULL
633,"Not Functional","No Utilization","broken electrodes"
634,"Fully Functional",Normal,NULL
635,"Not Functional","No Utilization",NULL
636,"Fully Functional",Normal,NULL
637,"Not Functional","No Utilization",NULL
638,"Fully Functional",Normal,NULL
639,"Fully Functional",Normal,NULL
640,"Fully Functional",Normal,NULL
641,"Fully Functional",Normal,NULL
642,"Fully Functional","Very Low","info at puretone.net"
643,"Fully Functional","Very Low",NULL
644,"Fully Functional","Very Low",NULL
645,"Fully Functional",Normal,NULL
646,"Needs Minor Repair","No Utilization","need to buy rechargeable battery with 4V or AA battery. Printer not working. Guy Mark Contact +44[0]1384410848 www.guymark.com"
647,"Not Functional","No Utilization",NULL
648,"Fully Functional",Normal,NULL
649,"Fully Functional",Normal,NULL
650,"Fully Functional",Normal,NULL
651,"Fully Functional",Normal,NULL
652,"Fully Functional",Normal,NULL
653,"Fully Functional",Normal,NULL
654,"Fully Functional",Normal,NULL
655,"Fully Functional",Normal,NULL
656,"Fully Functional",Normal,"Donor: Dr Drysdale, a.drysdale2@gmail.com"
657,"Fully Functional",Normal,NULL
658,"Fully Functional",Normal,NULL
659,"Fully Functional",Normal,NULL
660,"Not Functional","No Utilization",NULL
661,"Fully Functional",Normal,NULL
662,"Fully Functional",Normal,NULL
663,"Fully Functional",Normal,NULL
664,"Fully Functional",Normal,NULL
665,"Fully Functional",Normal,NULL
666,"Fully Functional",Normal,NULL
667,"Fully Functional",Normal,NULL
668,"Fully Functional",Normal,NULL
669,"Fully Functional",Normal,NULL
670,"Fully Functional",Normal,NULL
671,"Fully Functional",Normal,NULL
672,"Not Functional","No Utilization",NULL
673,"Not Functional","No Utilization",NULL
674,"Fully Functional",Normal,NULL
675,"Fully Functional",Normal,NULL
676,"Fully Functional",Normal,NULL
